"2E0KGZ-2","2e0kgz-2.duckdns.org","7373","DX Spider"
"6L0NJ","dxc.dx.or.kr","23","AR-Cluster"
"7N4TWL-7","7n4twl.homeip.net","7300","DX Spider"
"9A0CSI","dxc.ham.hr","7300","DX Spider"
"9A0DXC","9a0dxc.hamradio.hr","8000","DX Spider"
"9A0DXV","9a0dxv.hamradio.hr","8000","DX Spider"
"9A1CIG-2","dxc9a1cig.no-ip.org","23","AR-Cluster"
"9H1LO-1","dx.9h1lo.net","7300","DX Spider"
"9K2HN","62.150.41.82","8000","AR-Cluster"
"9M2PJU-2","9m2pju.hamradio.my","7300","DX Spider"
"A61BK-1","173.231.198.151","7300","DX Spider"
"AB2VY-3","104.128.238.234","7300","DX Spider"
"AB7AA","AB7AA.no-ip.org","23","AR-Cluster"
"AC2FO","50.182.225.11","23","CC Cluster"
"AE3N-2","dxc.ae3n.us","7300","DX Spider"
"AE5E","dxspots.com","7300","CC Cluster"
"AI3I-15","64.24.4.188","23","DX Spider"
"AI6W-1","ai6w.net","7300","DX Spider"
"AI9T","dxc.ai9t.com","7300","CC Cluster"
"BA2IA","58.244.248.177","7373","AR-Cluster"
"BA2IA-2","spot.ba2ia.com","7373","AR-Cluster"
"BD5RV","dxc.jsdxc.net","7300","DX Spider"
"BG2RVL-9","199.168.142.164","7300","DX Spider"
"BG2TFW","ar.bg2tfw.com","7373","AR-Cluster"
"BG6SNJ-0","dxc.bg6snj.cn","7300","DX Spider"
"BG8FT","BG8FFE.XICP.NET","7373","DX Spider"
"BG8FT-1","BG8FFE.XICP.NET","7373","DX Spider"
"BG8NUD","WWW.BG8NUD.COM","7373","AR-Cluster"
"BH1SCW-3","103.207.69.56","7300","DX Spider"
"BH4HKZ","spots.bh4hkz.com","7373","AR-Cluster"
"BI4MPH","bi4mph.x3322.net","7373","AR-Cluster"
"BI4MPH-1","bi4mph.x3322.net","7300","DX Spider"
"BI4SCC","spots.bi4scc.net","7300","AR-Cluster"
"CE4UYP-5","146.83.196.31","9000","DxNet"
"CQ0PAX-6","cq0pax.hamnet.radio","7300","DX Spider"
"CS0RCL-7","cs0rcl.hopto.org","9000","DxNet"
"CS3MAD","cs3mad.dyndns.org","7300","DX Spider"
"CS5ARLC-1","cluster.arlc.pt","7373","DX Spider"
"CS5ARTD-2","portaldoradioamador.pt","7300","DX Spider"
"CS5NRA-6","cs5nra.hamnet.radio","7300","DX Spider"
"CS5SEL-5","hamradio.isel.ipl.pt","41112","DX Spider"
"CS6ARC-10","cluster.no-ip.org","7300","DX Spider"
"CT1EBQ","node.ct1ebq.com","7300","DX Spider"
"CT1ENQ-5","ct1enq.myvnc.com","35000","AR-Cluster"
"CU3HY-2","cu3hy.mikemaciel.com","7300","DX Spider"
"CX2SA-8","cx2sa.net","7300","DX Spider"
"DA0BCC-7","dx.da0bcc.de","7300","DX Spider"
"DA6IT-2","dxcluster.afu-tools.de","7301","DX Spider"
"DB0ALG-9","44.149.66.194","7300","DX Spider"
"DB0ERF-5","db0erf.de","7300","DX Spider"
"DB0FHN-6","db0fhn.efi.fh-nuernberg.de","7300","DX Spider"
"DB0HGW-6","db0ovp.de","4111","DX Spider"
"DB0HST-6","dxc.db0hst.de","8005","DX Spider"
"DB0LJ-6","dx.hamnet.network","7300","DX Spider"
"DB0OVN-6","db0ovn.dynet.com","41112","DX Spider"
"DB0PER","44.149.156.66","7300","DX Spider"
"DB0PRA-9","db0pra.ampr.org","23","DX Spider"
"DB0SKF","44.149.96.70","23","DX Spider"
"DD5XX-10","gw.ham.to","7000","DX Spider"
"DH8WR-1","ccc.dh8wr.com","8000","CC Cluster"
"DJ4PK-2","116.202.128.144","23","DX Spider"
"DJ5CW-2","rbn.telegraphy.de","7000","OTHER"
"DL0HT-5","44.149.140.27","17300","DX Spider"
"DL0RTG-2","dl0rtg-2.spdns.eu","7300","DX Spider"
"DL1FLW-1","leipzig2000.dyndns.org","7300","DX Spider"
"DL2ND-10","202.61.242.215","23","CC Cluster"
"DL2ND-8","194.36.145.88","7373","AR-Cluster"
"DL4RCK","dl4rck.ddns.net","8000","AR-Cluster"
"DL8FCL-7","dl8fcl.dyndns.org","8000","DX Spider"
"DL8LAS","dr5x.dyndns.org","7300","OTHER"
"DM3KS-9","dm3ks.de","7300","DX Spider"
"DO5ALF-14","dxc.funkerportal.de","443","OTHER"
"DO7HBL-2","dx.qrpstation.de","7300","DX Spider"
"DQ8Z","dxcluster.dq8z.de","7373","DX Spider"
"DU3TW-1","145.14.157.67","7300","DX Spider"
"E73DU-6","e73du.no-ip.org","7300","DX Spider"
"E74C","e74c.hopto.org","7373","AR-Cluster"
"E79ZTB","e79ztb.dyndns.org","7300","DX Spider"
"EA1CYZ-5","ea1cyz.niab.es","9000","DX Spider"
"EA1DX","ea1dx.lynxdxg.com","7373","AR-Cluster"
"EA1EH-2","cluster.redsinhilos.com","7300","DX Spider"
"EA1FDD-1","144.76.109.18","7300","DX Spider"
"EA1HG-2","ea1hg.duckdns.org","7300","DX Spider"
"EA1IGN-3","ea1ign.ddns.net","7300","DX Spider"
"EA1URF-5","campelo.cdf.udc.es","8000","DX Spider"
"EA2CW-1","cluster.gautxori.com","7300","CC Cluster"
"EA2CW-2","cluster.gautxori.com","7373","DX Spider"
"EA2RCF-5","rcfcloud.dyndns.org","7300","DX Spider"
"EA2RKS-2","141.94.69.166","7300","DX Spider"
"EA2URV-5","dx.ea2urv.com","7300","DX Spider"
"EA3AKS-5","ea3aks.org","8000","DX Spider"
"EA3AKS-8","ea3aks.org","41112","CLX"
"EA3CV-2","dxcluster.cronux.net","7300","DX Spider"
"EA3CV-3","149.202.47.39","7303","DX Spider"
"EA4FIT-2","ea4fit.ddns.net","8000","DX Spider"
