# RBN skimmer positions — CALL<TAB>grid. Accumulated across weekly scrapes of
# reversebeacon.net/cont_includes/status.php?t=skt (fresh grid wins on conflict).
3B8GL	LG89RR
5Z4GO	KI96UA
7L4IOU	PM95WR
9M2CNC	OJ03TB
AA0O	EL87PS
AA4PA	EM55VD
AC0C	EM28QP
AC0VW	EN34OV
AK6RI	CM87XI
BA4OP	OM96NX
BA6KC	OM65XH
BD4UNT	OM92JB
BD7JNA	OL63QD
BD8CS	OM30BP
BG2TFW	PN11SW
BG4GOV	PM00VW
BG7IEJ	OL61MM
BG9XX	PM00AA
BH4RRG	OM92IC
BH4XDZ	OM94NO
BI4MPH	PM07QM
BI7JMD	OL63NQ
CT1EYQ	IM58OB
CX6VM	GF27XU
CX7ACH	GF15WB
DA2X	JO61VE
DB0GIE	JO30HT
DC8YZ	JN59MF
DE1LON	JO31HG
DF2JP	JO31ET
DF7GB	JN49CX
DG1ELE	JO30FL
DG6FL	JO40DA
DJ0OP	JO53IV
DJ3AK	JO52GJ
DK0KK	JO30FL
DK0TE	JN47RP
DK2GOX	JN49WS
DK3UA	JO64LF
DK3WW	JO62MG
DK5DQ	JO31QH
DK8NE	JO50AL
DK9DA	JO33MJ
DK9IP	JN48FX
DL0AO	JN59VK
DL0LA	JN68CM
DL0TRZ	JN49EU
DL1AMH	JO61HV
DL1HWS	JO61AQ
DL3OBQ	JN57UV
DL5RCN	JN68RS
DL5RMH	JN68BN
DL7ZF	JO62PM
DL8LAS	JO54EF
DL8TG	JO52IJ
DL9GTB	JO63LX
DM5GG	JO61UE
DM5I	JN39LO
DM6EE	JO52KJ
DO4DXA	JN58QC
DR4W	JN59SV
DR5M	JN59MO
DR7I	JN39LO
E28AC	OK01CT
EA1DAV	IN53UG
EA1URA	IN73CI
EA2CW	IN83MG
EA2RCF	IN82PU
EA4RKC	IM69QX
EA5WU	IM99WU
EI4HQ	IO51UU
ES2RR	KO29HG
ES5PC	KO38HJ
ET3AA	KJ99JA
EU1ST	KO33TU
EU8RO	KO52MK
EY8ZE	MM48JN
F4BPO	JN36DG
F4GOU	JN05BX
F4VVG	JN48BX
F4WEM	JN13BW
F5AHD	JN37RO
F6KGL	JN18GU
F8DGY	JN18GM
G0KTN	IO81TI
G0TMX	JO02IF
G2E	IO91ON
G3AKX	IO91ON
G3BJ	IO82NL
G3YPP	JO02RV
G4EYR	IO90WT
G4HDS	IO85UG
G4IRN	IO82MO
G4KCM	IO91EA
G4MKR	IO92VD
G4ZFE	IO91PK
G7SOZ	IO92WE
GI3JMC	IO65RB
GI4DOH	IO74DP
GM0UDL	IO77VO
GX0FRE	IO82UC
HA1VHF	JN87GF
HA2NA	JN97IT
HA5E	JN86QQ
HA5JI	JN96SK
HA5PP	JN97MO
HA8TKS	JN96UV
HB9AFZ	JN46ME
HB9BXE	JN47EB
HB9CQK	JN47DA
HB9DCO	JN37SM
HB9ELV	JN47GN
HB9EMP	JN47GN
HB9GVO	JN46LI
HB9YC	JN46ME
HG8A	JN96RK
HS0ZGZ	OK16PX
IK3STG	JN55XK
IK4VET	JN54MM
IK7YTT	JN81DC
IT9GSF	JM67SS
IV3DXW	JN65QQ
IW9GDC	JM78SD
IZ2CPS	JN45SS
IZ8FDH	JN70EU
JA1CCA	PM95QO
JA1JRS	PM95VS
JE1AEX	PM95LL
JE2YCR	PM84BP
JG1DLY	QM05DN
JH4UTP	PM64VN
JH7CSU1	PM95TP
JH8YOH	QN13FQ
JI1HFJ	PM95SS
JJ2VLY	PM95JG
JK0ABQ	PM96CO
JK1QLQ	PM96MJ
JM8SMO	QN13ER
JN1ILK	PM95ET
JO1YYP	PM95VW
K1RA	FM18CR
K3GMQ	FN20LH
K3PA	EM29MD
K4PP	EM64LL
K5EM	CN87UQ
K5JBT	EL29DS
K5KHK	FN13DC
K5TR	EM00UF
K6FOD	DM04WC
K7BKG	DN40EC
K7CO	DN40BN
K7EK	EM77AT
K7RUT	CN87PE
K9IMM	EN52CV
K9LC	EN52MG
KB5NJD	EM12MP
KC2DAC	FN02SV
KC4YVA	FM17IL
KD2M	EL87SG
KD2OGR	FN20SL
KD5NSK	EM34LL
KD7EFG	DN31UO
KE3BK	CM97FS
KG6NFJ	EM79WP
KH6LC	BK29CW
KK4FL	FM17TU
KK4HHP	FM18CJ
KM3T	FN42ET
KO4BHX	FM06MF
KO6KXY	DM13BW
KP2RUM	FK77PR
KR4IXC	FM18CR
KW7MM	DM42LL
LA6TPA	JP54RL
LB9KJ	JO29QJ
LU6KK	FG75GF
LU8XW	FD55UE
LY2XW	KO25OE
LY3G	KO05NS
LZ1QZ	KN32KM
LZ2HQ	KN23UC
LZ3BB	KN13KX
LZ3CB	KN32SN
LZ4AE	KN13US
LZ4UX	KN23TB
LZ5DI	KN12PQ
LZ7AA	KN12QQ
M1GEO	JO02EH
M9PCX	IO91XT
M9PSY	IO86HA
MM0WIC	IO88JP
MM0ZBH	IO86IB
MM9PSY	IO86HA
N0CALL	IO92NH
N2CR	FN20SU
N2EPE	FN13FB
N2YCH	FN31JG
N4HAC	FM08XT
N6TV	CM97CF
N7TUG	CN87TQ
N7VVX	DN40BW
N8DXE	EN91EF
N9CO	EN52QA
N9RU	EM57NS
NA3M	FM19JE
ND7K	DM34OB
NG7M	DN31XB
NH6HI	BL01FW
NN3RP	FM18LW
NU4F	EL96WD
OE3KLU	JN88FD
OE6ADD	JN77PA
OE9GHV	JN47WK
OG66X	KP24HP
OH4KA	KP20NK
OH6BG	KP03QA
OH8KA	KP25QC
OK1FCJ	JO70GA
OK1HRA	JO60WA
OK2ZAW	JO80CF
ON3ZZT	JO20GP
ON4EM	JO20DV
ON6ZQ	JO20EQ
ON7IO	JO20GP
OZ1AAB	JO65CS
OZ1BZS	JO46LE
PA0MBO	JO32KE
PA2SQ	JO22TR
PA3GRM	JO22QE
PA5KT	JO11WL
PA5WT	JO22HG
PA8MM	JO22LL
PD2RPS	JO22VW
PE5TT	JO21TV
PI4CC	JO21BX
PJ4WW	FK52UC
PT2FHC	GH64CG
PY2KNK	GG56NH
PY2PE	GG66PO
PY3RK	GG40KH
R4NCU	LO48VI
R6DXG	LN04HU
RK3TD	LO16QW
RN4WA	LO66PU
RU9CZD	MO07OD
S50ARX	JN65TW
S50U	JN66XD
S53A	JN75FT
S53F	JN75ON
S53M	JN86CR
S53WW	JN76HE
S54L	JN75FV
S58W	JN65UM
SE5E	JO89LW
SK6AW	JO67AQ
SM0TCZ	JO89XF
SM1HEV	JO97BM
SM7IUN	JO65MR
SP5GQ	KO02LK
SP8R	KO10AA
SQ5J	KO02KF
SZ1A	KM08QR
TF3Y	HP94BD
TI7W	EK70LR
UA4CC	LO31DN
UA4M	LO44WI
UR4RXX	KO51IM
UR5RFF	KO51JM
UT5R	KO51IM
UW5EMC	KN67PV
UY2RA	KO51IM
V51YJ	JG87NJ
VE3NZ	FN03HT
VE3TOS	FN03BQ
VE4DRK	EN19LU
VE6AO	DO31AC
VE6JY	DO33OR
VE6WZ	DO21ST
VE7CC	CN89RE
VK2GEL	QF55HJ
VK2RH	QF56OC
VK3RASA	QF21WV
VK3VB	QF21PW
VK6ANC	OF78WE
VU22DX	MK65VM
VU24DX	MK71UH
VU2CPL	MK83TE
VU2OY	MJ88KN
VU2PTT	MK82TX
VU2TUM	ML88LJ
W1NT	FN42LU
W2MV	FN31BA
W2NAF	FN21EI
W2NNN	FN20RQ
W3DAN	EN91EF
W3LPL	FM19LG
W3RGA	FN10PV
W3UA	FN42GV
W4KAZ	FM05OS
W4VKU	FM05NS
W5ZN	EM45DH
W6DVN	DM04TA
W6YX	CM87VJ
W8NJH	EN81EQ
W8WTS	EN91JJ
W8WWV	EN91HM
WA7LNW	DM37GD
WB6BEE	FM17DT
WC2L	FN32BS
WC8GOP	EN72PS
WE9V	EN52XN
WF8Z	EM79SM
WS2C	FM29KR
WS3W	FM19NG
WT8P	CN87XN
WT9U	EN71AO
WW1L	FN54OM
WZ7I	FN20KK
YO2CK	KN15LO
YO2KAR	KN15KV
YO5LD	KN05NR
ZF1A	EK99IG
ZF9CW	FK09CR
ZL2KS	RE68XQ
ZL3X	RE66IR
ZP6KFX	GG14HQ
ZS1NN	JF96KO
